date,event_count,program_instance_count,title_base_count,has_time_count,reservation_event_count,onsite_event_count,online_event_count,night_event_count,children_event_count,music_event_count,food_event_count,guide_event_count,reward_event_count,hanbok_event_count,type_공식행사_count,type_공연_count,type_복합_count,type_온라인_count,type_재현_count,type_전시_count,type_체험_count,participation_사전예약_count,participation_현장참여_count,year,month,day,weekday,weekday_kr,is_weekend,season
2015-05-01,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2015,5,1,Friday,금,0,봄
2015-05-02,4,4,4,4,0,4,0,0,1,2,1,0,0,0,1,1,0,0,0,1,1,0,4,2015,5,2,Saturday,토,1,봄
2015-05-03,5,5,5,5,1,4,0,0,1,1,1,0,0,0,0,1,0,0,1,1,2,1,4,2015,5,3,Sunday,일,1,봄
2015-05-04,6,6,6,6,2,4,0,0,1,1,2,0,0,1,0,1,0,0,1,1,3,2,4,2015,5,4,Monday,월,0,봄
2015-05-05,6,6,6,6,2,4,0,0,1,1,2,0,0,1,0,1,0,0,1,1,3,2,4,2015,5,5,Tuesday,화,0,봄
2015-05-06,6,6,6,6,2,4,0,0,1,1,2,0,0,1,0,1,0,0,1,1,3,2,4,2015,5,6,Wednesday,수,0,봄
2015-05-07,6,6,6,6,2,4,0,0,1,1,2,0,0,1,0,1,0,0,1,1,3,2,4,2015,5,7,Thursday,목,0,봄
2015-05-08,6,6,6,6,2,4,0,0,1,1,2,0,0,1,0,1,0,0,1,1,3,2,4,2015,5,8,Friday,금,0,봄
2015-05-09,6,6,6,6,2,4,0,0,1,1,2,0,0,1,0,1,0,0,1,1,3,2,4,2015,5,9,Saturday,토,1,봄
2015-05-10,6,6,6,6,2,4,0,0,1,1,2,0,0,1,0,1,0,0,1,1,3,2,4,2015,5,10,Sunday,일,1,봄
2018-04-28,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2018,4,28,Saturday,토,1,봄
2019-04-27,2,2,2,2,0,2,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,2,2019,4,27,Saturday,토,1,봄
2019-04-28,4,4,4,4,0,4,0,2,1,2,2,0,0,1,1,2,0,0,0,1,0,0,4,2019,4,28,Sunday,일,1,봄
2019-04-29,3,3,3,3,0,3,0,2,1,2,1,0,0,1,0,2,0,0,0,1,0,0,3,2019,4,29,Monday,월,0,봄
2019-04-30,3,3,3,3,0,3,0,2,1,2,1,0,0,1,0,2,0,0,0,1,0,0,3,2019,4,30,Tuesday,화,0,봄
2019-05-01,3,3,3,3,0,3,0,2,1,2,1,0,0,1,0,2,0,0,0,1,0,0,3,2019,5,1,Wednesday,수,0,봄
2019-05-02,3,3,3,3,0,3,0,2,1,2,1,0,0,1,0,2,0,0,0,1,0,0,3,2019,5,2,Thursday,목,0,봄
2019-05-03,3,3,3,3,0,3,0,2,1,2,1,0,0,1,0,2,0,0,0,1,0,0,3,2019,5,3,Friday,금,0,봄
2019-05-04,4,4,4,4,0,4,0,2,1,2,1,0,0,1,0,2,0,0,1,1,0,0,4,2019,5,4,Saturday,토,1,봄
2019-05-05,3,3,3,3,0,3,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,3,2019,5,5,Sunday,일,1,봄
2020-10-10,3,3,3,3,0,3,0,1,0,0,2,0,0,1,0,0,0,0,0,2,1,0,3,2020,10,10,Saturday,토,1,가을
2020-10-11,3,3,3,3,0,3,0,1,0,0,2,0,0,1,0,0,0,0,0,2,1,0,3,2020,10,11,Sunday,일,1,가을
2020-10-12,3,3,3,3,0,3,0,1,0,0,2,0,0,1,0,0,0,0,0,2,1,0,3,2020,10,12,Monday,월,0,가을
2020-10-13,3,3,3,3,0,3,0,1,0,0,2,0,0,1,0,0,0,0,0,2,1,0,3,2020,10,13,Tuesday,화,0,가을
2020-10-14,3,3,3,3,0,3,0,1,0,0,2,0,0,1,0,0,0,0,0,2,1,0,3,2020,10,14,Wednesday,수,0,가을
2020-10-15,3,3,3,3,0,3,0,1,0,0,2,0,0,1,0,0,0,0,0,2,1,0,3,2020,10,15,Thursday,목,0,가을
2020-10-16,3,3,3,3,0,3,0,1,0,0,2,0,0,1,0,0,0,0,0,2,1,0,3,2020,10,16,Friday,금,0,가을
2020-10-17,3,3,3,3,0,3,0,1,0,0,2,0,0,1,0,0,0,0,0,2,1,0,3,2020,10,17,Saturday,토,1,가을
2020-10-18,4,4,4,4,0,4,0,2,0,1,3,0,0,1,0,1,0,0,0,2,1,0,4,2020,10,18,Sunday,일,1,가을
2020-10-19,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,10,19,Monday,월,0,가을
2020-10-20,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,10,20,Tuesday,화,0,가을
2020-10-21,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,10,21,Wednesday,수,0,가을
2020-10-22,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,10,22,Thursday,목,0,가을
2020-10-23,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,10,23,Friday,금,0,가을
2020-10-24,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,10,24,Saturday,토,1,가을
2020-10-25,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,10,25,Sunday,일,1,가을
2020-10-26,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,10,26,Monday,월,0,가을
2020-10-27,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,10,27,Tuesday,화,0,가을
2020-10-28,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,10,28,Wednesday,수,0,가을
2020-10-29,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,10,29,Thursday,목,0,가을
2020-10-30,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,10,30,Friday,금,0,가을
2020-10-31,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,10,31,Saturday,토,1,가을
2020-11-01,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,11,1,Sunday,일,1,가을
2020-11-02,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,11,2,Monday,월,0,가을
2020-11-03,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,11,3,Tuesday,화,0,가을
2020-11-04,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,11,4,Wednesday,수,0,가을
2020-11-05,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,11,5,Thursday,목,0,가을
2020-11-06,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,11,6,Friday,금,0,가을
2020-11-07,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,11,7,Saturday,토,1,가을
2020-11-08,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,11,8,Sunday,일,1,가을
2020-11-09,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,11,9,Monday,월,0,가을
2020-11-10,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,11,10,Tuesday,화,0,가을
2020-11-11,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,11,11,Wednesday,수,0,가을
2020-11-12,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,11,12,Thursday,목,0,가을
2020-11-13,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,11,13,Friday,금,0,가을
2020-11-14,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,11,14,Saturday,토,1,가을
2020-11-15,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,11,15,Sunday,일,1,가을
2020-11-16,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2020,11,16,Monday,월,0,가을
2021-10-16,2,2,2,2,1,1,0,2,0,0,2,0,1,0,0,0,0,0,0,2,0,1,1,2021,10,16,Saturday,토,1,가을
2021-10-17,2,2,2,2,1,1,0,2,0,0,2,0,1,0,0,0,0,0,0,2,0,1,1,2021,10,17,Sunday,일,1,가을
2021-10-18,2,2,2,2,1,1,0,2,0,0,2,0,1,0,0,0,0,0,0,2,0,1,1,2021,10,18,Monday,월,0,가을
2021-10-19,2,2,2,2,1,1,0,2,0,0,2,0,1,0,0,0,0,0,0,2,0,1,1,2021,10,19,Tuesday,화,0,가을
2021-10-20,2,2,2,2,1,1,0,2,0,0,2,0,1,0,0,0,0,0,0,2,0,1,1,2021,10,20,Wednesday,수,0,가을
