date,round_id,round_label,program_idx,title_original,title_clean,title_base,place_single,program_type_clean,program_type_group,participation_type_clean,year,month,day,weekday,weekday_kr,is_weekend,season,has_time,start_time_first,end_time_first,duration_minutes_first,has_reward,has_children,has_night,has_music,has_food,has_guide,has_hanbok,has_reservation_notice,has_fee_info,has_rain_notice
2025-10-10,28,11회,706,2025년 국제심포지엄 및 시연회,국제심포지엄 및 시연회,국제심포지엄 및 시연회,경복궁,공연,관람형,사전예약,2025,10,10,Friday,금,0,가을,0,,,,0,1,0,1,1,0,1,1,1,1
2025-10-08,28,11회,693,경복궁 한복 연향,경복궁 한복 연향,한복 연향,경복궁,공식행사,행사형,사전예약,2025,10,8,Wednesday,수,0,가을,0,,,,0,0,0,0,0,0,1,1,0,0
2025-10-09,28,11회,693,경복궁 한복 연향,경복궁 한복 연향,한복 연향,경복궁,공식행사,행사형,사전예약,2025,10,9,Thursday,목,0,가을,0,,,,0,0,0,0,0,0,1,1,0,0
2025-10-08,28,11회,660,수문장 교대의식(하반기),수문장 교대의식(하반기),수문장 교대의식(하반기),경복궁,재현,관람형,현장참여,2025,10,8,Wednesday,수,0,가을,1,10:00,14:00,,0,0,0,0,1,0,0,0,0,1
2025-10-09,28,11회,660,수문장 교대의식(하반기),수문장 교대의식(하반기),수문장 교대의식(하반기),경복궁,재현,관람형,현장참여,2025,10,9,Thursday,목,0,가을,1,10:00,14:00,,0,0,0,0,1,0,0,0,0,1
2025-10-10,28,11회,660,수문장 교대의식(하반기),수문장 교대의식(하반기),수문장 교대의식(하반기),경복궁,재현,관람형,현장참여,2025,10,10,Friday,금,0,가을,1,10:00,14:00,,0,0,0,0,1,0,0,0,0,1
2025-10-11,28,11회,660,수문장 교대의식(하반기),수문장 교대의식(하반기),수문장 교대의식(하반기),경복궁,재현,관람형,현장참여,2025,10,11,Saturday,토,1,가을,1,10:00,14:00,,0,0,0,0,1,0,0,0,0,1
2025-10-12,28,11회,660,수문장 교대의식(하반기),수문장 교대의식(하반기),수문장 교대의식(하반기),경복궁,재현,관람형,현장참여,2025,10,12,Sunday,일,1,가을,1,10:00,14:00,,0,0,0,0,1,0,0,0,0,1
2025-10-08,28,11회,659,2025년 경복궁 생과방(하반기),경복궁 생과방(하반기),생과방(하반기),경복궁,체험,참여형,사전예약,2025,10,8,Wednesday,수,0,가을,1,10:00,11:40,,0,1,0,0,1,0,0,1,1,1
2025-10-09,28,11회,659,2025년 경복궁 생과방(하반기),경복궁 생과방(하반기),생과방(하반기),경복궁,체험,참여형,사전예약,2025,10,9,Thursday,목,0,가을,1,10:00,11:40,,0,1,0,0,1,0,0,1,1,1
2025-10-10,28,11회,659,2025년 경복궁 생과방(하반기),경복궁 생과방(하반기),생과방(하반기),경복궁,체험,참여형,사전예약,2025,10,10,Friday,금,0,가을,1,10:00,11:40,,0,1,0,0,1,0,0,1,1,1
2025-10-11,28,11회,659,2025년 경복궁 생과방(하반기),경복궁 생과방(하반기),생과방(하반기),경복궁,체험,참여형,사전예약,2025,10,11,Saturday,토,1,가을,1,10:00,11:40,,0,1,0,0,1,0,0,1,1,1
2025-10-12,28,11회,659,2025년 경복궁 생과방(하반기),경복궁 생과방(하반기),생과방(하반기),경복궁,체험,참여형,사전예약,2025,10,12,Sunday,일,1,가을,1,10:00,11:40,,0,1,0,0,1,0,0,1,1,1
