round_id,round_label,program_idx,title_original,title_clean,title_base,place_single,program_type_clean,program_type_group,participation_type_clean,start_date,end_date,duration_days,year,month,season,has_time,start_time_first,end_time_first,duration_minutes_first,detail_url,image_url,has_reward,has_children,has_night,has_music,has_food,has_guide,has_hanbok,has_reservation_notice,has_fee_info,has_rain_notice
28,11회,706,2025년 국제심포지엄 및 시연회,국제심포지엄 및 시연회,국제심포지엄 및 시연회,경복궁,공연,관람형,사전예약,2025-10-10,2025-10-10,1,2025,10,가을,0,,,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=706&searchRound=28&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202509/234bc5069cb04613a7e9da142a65c712_1759129048356.jpg,0,1,0,1,1,0,1,1,1,1
28,11회,693,경복궁 한복 연향,경복궁 한복 연향,한복 연향,경복궁,공식행사,행사형,사전예약,2025-10-08,2025-10-09,2,2025,10,가을,0,,,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=693&searchRound=28&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202509/914416a11fde4e04b79834fe3b970133_1757545440117.jpg,0,0,0,0,0,0,1,1,0,0
28,11회,660,수문장 교대의식(하반기),수문장 교대의식(하반기),수문장 교대의식(하반기),경복궁,재현,관람형,현장참여,2025-10-08,2025-10-12,5,2025,10,가을,1,10:00,14:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=660&searchRound=28&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202509/0ba9317a9bbc4751a80a7eee7f48b92d_1758046092562.JPG,0,0,0,0,1,0,0,0,0,1
28,11회,659,2025년 경복궁 생과방(하반기),경복궁 생과방(하반기),생과방(하반기),경복궁,체험,참여형,사전예약,2025-10-08,2025-10-12,5,2025,10,가을,1,10:00,11:40,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=659&searchRound=28&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202509/b6ce630ed4fb4210acf34a1c87188832_1757556764615.JPG,0,1,0,0,1,0,0,1,1,1
28,11회,527,경복궁 왕가의 산책,경복궁 왕가의 산책,왕가의 산책,경복궁,재현,관람형,현장참여,2025-10-08,2025-10-12,5,2025,10,가을,1,11:30,14:30,50,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=527&searchRound=28&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202408/92835afa0a214c7c9b433a19668a8f78_1724820270391.jpg,0,0,0,0,1,1,0,0,0,1
28,11회,688,특별 굿즈 <궁패스 노리개>,특별 굿즈 <궁패스 노리개>,특별 굿즈 <궁패스 노리개>,경복궁,온라인,기타,사전예약,2025-10-08,2025-10-12,5,2025,10,가을,0,,,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=688&searchRound=28&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202509/c38ed0ab408b464aa315ed29a917feb9_1757544873959.jpg,1,0,0,0,0,0,0,1,0,0
26,11회,644,세종대왕자태실 태봉안행차 재현 행사,세종대왕자태실 태봉안행차 재현 행사,세종대왕자태실 태봉안행차 재현 행사,경복궁,재현,관람형,현장참여,2025-05-02,2025-05-02,1,2025,5,봄,1,14:00,15:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=644&searchRound=26&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202504/2bfa26674f64492aa40c12fc90a9d02a_1744629577610.jpg,0,0,0,0,1,0,0,0,0,0
26,11회,637,2025 봄 궁중문화축전 스탬프 투어,스탬프 투어,스탬프 투어,경복궁,체험,참여형,현장참여,2025-04-26,2025-05-04,9,2025,4,봄,1,09:00,18:00,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=637&searchRound=26&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202504/b97eed763ec64443abea3a8c41eb5e25_1745635456811.jpg,1,0,0,0,1,1,0,0,1,1
26,11회,630,열아홉 화협옹주의 꽃단장,열아홉 화협옹주의 꽃단장,열아홉 화협옹주의 꽃단장,경복궁,체험,참여형,사전예약,2025-05-01,2025-05-01,1,2025,5,봄,1,10:10,12:10,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=630&searchRound=26&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202504/a863bd6b72984ee0a7194d961243f9fe_1743934819437.jpg,0,0,0,0,0,0,0,1,0,0
26,11회,629,국립고궁박물관-어차 MZ 워크샵,국립고궁박물관-어차 MZ 워크샵,국립고궁박물관-어차 MZ 워크샵,경복궁,체험,참여형,사전예약,2025-05-01,2025-05-01,1,2025,5,봄,1,13:30,15:30,,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=629&searchRound=26&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202504/057b11c7211f431987e4b525373f671a_1745071283214.jpg,0,0,0,0,1,0,0,1,0,0
26,11회,578,경복궁 수문장 교대의식,경복궁 수문장 교대의식,수문장 교대의식,경복궁,재현,관람형,현장참여,2025-04-25,2025-05-04,10,2025,4,봄,1,10:00,14:00,20,https://www.kh.or.kr/program/view/menu/1292?viewType=ach&idx=578&searchRound=26&searchStTime=&searchEnTime=&searchField=homeAll&searchText=,https://www.kh.or.kr/jnrepo/upload/jnPrgFestivalProgram/202503/a43c31457a7d435cb4199e7bbdadecd0_1742217513382.jpg,0,0,0,0,1,0,0,0,0,1
