날짜,KTCI,등급,계절,KTCI-a,등급_a,계절_a,KTCI-a2,등급_a2,KTCI-a_roll3,KTCI-a_roll7,Cd,Ca,P,W,S,ET_d,ET_a,최고기온,평균기온,최저습도,평균습도,강수량,풍속,일조시간,전운량
2009-01-01,65.76,Good,winter,65.76,Good,winter,65.76,Good,65.76,65.76,2.0,1.5,5.0,4.0,4.4,0.20999999999999996,-2.3745599999999993,-2.5,-5.8,45.8,45.8,0.0,2.3,8.8,0.0
2009-01-02,67.22,Good,winter,67.22,Good,winter,67.22,Good,66.49,66.49,2.0,1.5,5.0,4.5,4.4,2.9072000000000005,-0.3167999999999993,1.2,-2.8,51.5,51.5,0.0,1.6,8.8,0.0
2009-01-03,70.42,Very Good,winter,70.42,Very Good,winter,70.42,Very Good,67.8,67.8,2.5,2.0,5.0,4.0,4.4,5.2408,1.2748000000000004,4.0,-1.0,48.3,48.3,0.0,1.8,8.8,0.9
2009-01-04,70.09,Very Good,winter,70.09,Very Good,winter,70.09,Very Good,69.24,68.37,2.5,2.0,5.0,4.0,4.2,5.7254000000000005,2.5388800000000002,4.5,0.4,44.3,44.3,0.0,1.9,8.4,2.0
2009-01-05,64.99,Good,winter,64.99,Good,winter,64.99,Good,68.5,67.7,2.0,2.0,5.0,4.0,2.45,2.85088,0.5761599999999998,1.2,-1.6,53.1,53.1,0.0,2.2,4.9,1.6
2009-01-06,65.07,Good,winter,65.07,Good,winter,65.07,Good,66.72,67.26,2.0,2.0,5.0,4.0,2.5,3.12,0.40000000000000036,1.4,-2.0,50.0,50.0,0.0,1.7,5.0,3.6
2009-01-07,70.26,Very Good,winter,70.26,Very Good,winter,70.26,Very Good,66.77,67.69,2.5,2.0,5.0,4.0,4.3,5.5456,1.9360000000000004,4.2,-0.5,42.0,42.0,0.0,1.8,8.6,0.5
2009-01-08,68.31,Good,winter,68.31,Good,winter,68.31,Good,67.88,68.05,2.5,2.0,5.0,4.0,3.1,4.24,1.6288000000000005,2.5,-0.9,42.0,42.0,0.0,1.8,6.2,3.0
2009-01-09,62.76,Good,winter,62.76,Good,winter,62.76,Good,67.11,67.41,2.0,1.5,5.0,3.5,3.45,1.8940000000000006,-0.42199999999999926,-0.5,-3.5,43.0,43.0,0.0,3.0,6.9,0.5
2009-01-10,60.57,Good,winter,60.57,Good,winter,60.57,Good,63.88,66.01,1.5,1.5,5.0,3.0,4.4,-0.9823999999999988,-3.4399999999999995,-4.3,-7.5,42.0,42.0,0.0,3.5,8.8,0.4
2009-01-11,62.11,Good,winter,62.11,Good,winter,62.11,Good,61.81,64.87,1.5,1.5,5.0,3.5,4.45,-0.7636000000000003,-3.644,-4.2,-8.0,39.5,39.5,0.0,3.3,8.9,0.4
2009-01-12,57.61,Acceptable,winter,57.61,Acceptable,winter,57.61,Acceptable,60.1,63.81,1.5,1.0,5.0,3.0,4.05,-0.42799999999999994,-4.061999999999999,-3.2,-7.8,47.5,47.5,0.0,4.1,8.1,0.5
2009-01-13,65.84,Good,winter,65.84,Good,winter,65.84,Good,61.85,63.92,2.0,1.5,5.0,4.0,4.45,1.0162000000000004,-2.1085999999999996,-1.5,-5.5,45.3,45.3,0.0,2.1,8.9,1.4
2009-01-14,60.73,Good,winter,60.73,Good,winter,60.73,Good,61.39,62.56,1.5,1.5,5.0,3.0,4.5,-0.010880000000000223,-2.5894399999999997,-3.2,-6.6,39.6,39.6,0.0,3.5,9.0,0.4
2009-01-15,65.68,Good,winter,65.68,Good,winter,65.68,Good,64.08,62.19,2.0,1.5,5.0,4.0,4.35,1.1488000000000005,-2.022879999999999,-2.0,-6.3,34.4,34.4,0.0,2.1,8.7,2.5
2009-01-16,58.06,Acceptable,winter,58.06,Acceptable,winter,58.06,Acceptable,61.49,61.51,2.0,1.5,4.67,4.0,0.9,1.13728,-1.8169599999999995,0.4,-2.8,80.8,80.8,3.3,2.0,1.8,6.0
2009-01-17,64.7,Good,winter,64.7,Good,winter,64.7,Good,62.81,62.1,2.0,1.5,5.0,4.0,3.75,3.74032,-0.34207999999999994,3.1,-1.4,76.8,76.8,0.0,2.3,7.5,0.9
2009-01-18,63.53,Good,winter,63.53,Good,winter,63.53,Good,62.1,62.31,2.5,2.0,5.0,4.0,0.15,6.5399199999999995,3.4347200000000004,6.1,2.6,71.8,71.8,0.0,2.4,0.3,7.8
2009-01-19,68.15,Good,winter,68.15,Good,winter,68.15,Good,65.46,63.81,2.5,2.0,5.0,3.5,3.9,5.8024000000000004,2.5552,4.7,0.6,48.0,48.0,0.0,2.6,7.8,2.3
2009-01-20,71.27,Very Good,winter,71.27,Very Good,winter,71.27,Very Good,67.65,64.59,2.5,2.5,5.0,4.0,3.45,7.98064,4.37464,7.2,2.2,30.3,30.3,0.0,1.7,6.9,5.6
2009-01-21,66.57,Good,winter,66.57,Good,winter,66.57,Good,68.66,65.42,2.5,2.5,5.0,4.0,0.5499999999999998,6.66096,5.032159999999999,5.9,3.9,53.6,53.6,0.0,1.9,0.0,8.9
2009-01-22,69.65,Good,winter,69.65,Good,winter,69.65,Good,69.16,65.99,3.0,2.5,5.0,3.5,1.95,9.40752,4.5830400000000004,9.3,3.6,61.6,61.6,0.0,3.4,3.9,6.5
2009-01-23,60.12,Good,winter,60.12,Good,winter,60.12,Good,65.45,66.28,2.0,1.0,5.0,3.0,4.2,0.9472000000000005,-4.3336,-2.0,-9.0,38.6,38.6,0.0,4.7,8.4,1.8
2009-01-24,57.68,Acceptable,winter,57.68,Acceptable,winter,57.68,Acceptable,62.48,65.28,1.5,1.0,4.8,4.0,3.05,-2.8591599999999997,-5.413959999999999,-5.1,-8.1,62.9,62.9,2.0,2.3,6.1,3.3
2009-01-25,61.22,Good,winter,61.22,Good,winter,61.22,Good,59.67,64.95,2.0,1.5,4.96,3.5,2.65,2.2456,-2.57936,1.0,-4.6,65.4,65.4,0.4,2.7,5.3,3.5
2009-01-26,64.06,Good,winter,64.06,Good,winter,64.06,Good,60.99,64.37,2.0,1.5,5.0,4.0,3.35,1.27696,-1.3741599999999998,-0.2,-3.3,63.8,63.8,0.0,2.4,6.7,2.4
2009-01-27,70.26,Very Good,winter,70.26,Very Good,winter,70.26,Very Good,65.18,64.22,2.5,2.0,5.0,4.0,4.3,5.051679999999999,0.34672000000000036,3.9,-1.9,52.8,52.8,0.0,2.0,8.6,0.9
2009-01-28,73.01,Very Good,winter,73.01,Very Good,winter,73.01,Very Good,69.11,65.14,3.0,2.0,5.0,4.0,4.6,8.30952,3.4686000000000003,7.8,1.5,42.1,42.1,0.0,1.9,9.2,0.0
2009-01-29,73.86,Very Good,winter,73.86,Very Good,winter,73.86,Very Good,72.38,65.74,3.0,2.5,5.0,4.5,2.75,8.7284,4.9884,8.3,3.3,37.0,37.0,0.0,1.5,5.5,4.6
2009-01-30,72.32,Very Good,winter,72.32,Very Good,winter,72.32,Very Good,73.06,67.49,3.0,2.5,5.0,3.5,3.6,11.73008,6.69712,12.2,5.8,46.6,46.6,0.0,3.2,7.2,2.9
2009-01-31,71.84,Very Good,winter,71.84,Very Good,winter,71.84,Very Good,72.67,69.51,3.0,2.5,5.0,3.5,3.3,11.36272,6.87376,11.7,6.1,50.4,50.4,0.0,2.6,6.6,1.9
