date,year,month,day,dow,dow_name,is_weekend,is_regular_closed_tuesday,closed,others_closed,d_holiday,close_hour,last_entry_hour,scheduled_open_hours_nominal,scheduled_entry_hours_nominal,visitors,cdg_visitors,cgg_visitors,dsg_visitors,paid,free,domestic,english,japanese,chinese,other_foreign,foreign_total,source_year,source_file
2009-01-01,2009,1,1,3,목,0,0,0,0,1,17.0,16.0,8.0,7.0,9966,2553,1064,5840,7866,2100,4621,666,1352,3327,0,5345,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-02,2009,1,2,4,금,0,0,0,0,0,17.0,16.0,8.0,7.0,7871,2307,859,5508,6103,1768,4417,440,748,2128,138,3454,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-03,2009,1,3,5,토,1,0,0,0,0,17.0,16.0,8.0,7.0,10553,2777,1338,8761,7576,2977,6878,528,872,2171,104,3675,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-04,2009,1,4,6,일,1,0,0,0,0,17.0,16.0,8.0,7.0,7928,2295,1248,7467,6126,1802,3353,519,1005,2021,1030,4575,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-05,2009,1,5,0,월,0,0,0,2,0,17.0,16.0,8.0,7.0,5056,0,590,0,3936,1120,2158,268,1316,1259,55,2898,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-06,2009,1,6,1,화,0,1,1,1,0,17.0,16.0,8.0,7.0,0,2553,0,4175,0,0,0,0,0,0,0,0,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-07,2009,1,7,2,수,0,0,0,0,0,17.0,16.0,8.0,7.0,4571,1299,580,3400,3389,1182,2308,525,644,1021,73,2263,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-08,2009,1,8,3,목,0,0,0,0,0,17.0,16.0,8.0,7.0,3567,1087,530,3261,2660,907,1873,264,938,431,61,1694,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-09,2009,1,9,4,금,0,0,0,0,0,17.0,16.0,8.0,7.0,3456,1192,338,3282,2653,803,1896,261,675,566,58,1560,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-10,2009,1,10,5,토,1,0,0,0,0,17.0,16.0,8.0,7.0,11614,1497,680,5331,3285,8329,9456,466,690,926,76,2158,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-11,2009,1,11,6,일,1,0,0,0,0,17.0,16.0,8.0,7.0,5559,1775,515,3720,4313,1246,2995,524,1052,882,106,2564,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-12,2009,1,12,0,월,0,0,0,2,0,17.0,16.0,8.0,7.0,7395,0,340,0,3271,4124,4646,442,959,1099,249,2749,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-13,2009,1,13,1,화,0,1,1,1,0,17.0,16.0,8.0,7.0,0,1624,0,3135,0,0,0,0,0,0,0,0,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-14,2009,1,14,2,수,0,0,0,0,0,17.0,16.0,8.0,7.0,3369,1250,358,2261,2622,747,1185,133,761,1260,30,2184,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-15,2009,1,15,3,목,0,0,0,0,0,17.0,16.0,8.0,7.0,4448,1037,332,1305,3332,1116,1399,554,799,1645,51,3049,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-16,2009,1,16,4,금,0,0,0,0,0,17.0,16.0,8.0,7.0,4850,1427,892,4084,3611,1239,1995,332,798,1594,131,2855,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-17,2009,1,17,5,토,1,0,0,0,0,17.0,16.0,8.0,7.0,12437,2416,1320,8961,7706,4731,7899,425,943,3044,126,4538,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-18,2009,1,18,6,일,1,0,0,0,0,17.0,16.0,8.0,7.0,8078,2369,1094,7000,6278,1800,4453,610,703,2223,89,3625,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-19,2009,1,19,0,월,0,0,0,2,0,17.0,16.0,8.0,7.0,6187,0,615,0,4723,1464,2534,340,1194,2064,55,3653,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-20,2009,1,20,1,화,0,1,1,1,0,17.0,16.0,8.0,7.0,0,2609,0,5471,0,0,0,0,0,0,0,0,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-21,2009,1,21,2,수,0,0,0,0,0,17.0,16.0,8.0,7.0,5731,1327,506,3346,4559,1172,2212,290,894,2187,148,3519,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-22,2009,1,22,3,목,0,0,0,0,0,17.0,16.0,8.0,7.0,4620,1058,638,2414,3658,962,2049,261,831,1468,11,2571,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-23,2009,1,23,4,금,0,0,0,0,0,17.0,16.0,8.0,7.0,3042,983,159,1914,2349,693,881,194,593,1341,33,2161,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-24,2009,1,24,5,토,1,0,0,0,0,17.0,16.0,8.0,7.0,7351,1390,880,5632,4614,2737,3205,714,1136,2285,11,4146,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-25,2009,1,25,6,일,1,0,0,0,1,17.0,16.0,8.0,7.0,6165,1098,710,3430,4791,1374,3452,342,597,1700,74,2713,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-26,2009,1,26,0,월,0,0,0,0,1,17.0,16.0,8.0,7.0,38481,2792,3349,5600,0,38481,15672,1848,9101,11374,486,22809,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-27,2009,1,27,1,화,0,1,0,0,1,17.0,16.0,8.0,7.0,16871,3855,3047,9206,12412,4459,12821,504,435,3011,100,4050,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-28,2009,1,28,2,수,0,0,0,0,0,17.0,16.0,8.0,7.0,8359,1133,703,3565,6489,1870,3406,365,796,3702,90,4953,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-29,2009,1,29,3,목,0,0,0,0,0,17.0,16.0,8.0,7.0,8543,1545,733,4338,6640,1903,3264,276,719,4198,86,5279,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-30,2009,1,30,4,금,0,0,0,0,0,17.0,16.0,8.0,7.0,10143,1892,803,4466,7055,3088,4731,317,651,4377,67,5412,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-01-31,2009,1,31,5,토,1,0,0,0,0,17.0,16.0,8.0,7.0,15333,2745,1794,9349,11711,3622,8539,539,908,5260,87,6794,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-01,2009,2,1,6,일,1,0,0,0,0,17.0,16.0,8.0,7.0,13426,2970,2120,5747,10422,3004,7645,477,891,4407,6,5781,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-02,2009,2,2,0,월,0,0,0,2,0,17.0,16.0,8.0,7.0,7672,0,730,0,5899,1773,2972,275,1271,3082,72,4700,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-03,2009,2,3,1,화,0,1,1,1,0,17.0,16.0,8.0,7.0,0,2956,0,5304,0,0,0,0,0,0,0,0,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-04,2009,2,4,2,수,0,0,0,0,0,17.0,16.0,8.0,7.0,7066,1638,735,3537,5700,1366,2813,186,1199,2772,96,4253,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-05,2009,2,5,3,목,0,0,0,0,0,17.0,16.0,8.0,7.0,5993,1389,389,2796,4775,1218,2114,317,1124,2287,151,3879,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-06,2009,2,6,4,금,0,0,0,0,0,17.0,16.0,8.0,7.0,6313,1688,693,3581,4873,1440,2301,396,1611,1933,72,4012,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-07,2009,2,7,5,토,1,0,0,0,0,17.0,16.0,8.0,7.0,7922,2163,955,6012,6342,1580,3644,987,1218,2036,37,4278,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-08,2009,2,8,6,일,1,0,0,0,0,17.0,16.0,8.0,7.0,9324,2643,1743,6817,7280,2044,5922,555,1221,1543,83,3402,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-09,2009,2,9,0,월,0,0,0,2,0,17.0,16.0,8.0,7.0,7043,0,688,0,4391,2652,3783,351,1583,1256,70,3260,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-10,2009,2,10,1,화,0,1,1,1,0,17.0,16.0,8.0,7.0,0,2463,0,4296,0,0,0,0,0,0,0,0,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-11,2009,2,11,2,수,0,0,0,0,0,17.0,16.0,8.0,7.0,5728,1625,610,2755,4377,1351,1830,467,1407,1975,49,3898,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-12,2009,2,12,3,목,0,0,0,0,0,17.0,16.0,8.0,7.0,5050,1502,681,2726,3744,1306,1817,405,1214,1525,89,3233,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-13,2009,2,13,4,금,0,0,0,0,0,17.0,16.0,8.0,7.0,2556,1396,112,1530,1948,608,550,192,1058,732,24,2006,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-14,2009,2,14,5,토,1,0,0,0,0,17.0,16.0,8.0,7.0,17998,2314,1404,6586,5957,12041,14115,428,1187,2193,75,3883,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-15,2009,2,15,6,일,1,0,0,0,0,17.0,16.0,8.0,7.0,8264,1972,810,3839,5498,2766,4637,485,952,2059,131,3627,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-16,2009,2,16,0,월,0,0,0,2,0,17.0,16.0,8.0,7.0,5229,0,471,0,4160,1069,1517,415,1677,1577,43,3712,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-17,2009,2,17,1,화,0,1,1,1,0,17.0,16.0,8.0,7.0,0,2743,0,3616,0,0,0,0,0,0,0,0,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-18,2009,2,18,2,수,0,0,0,0,0,17.0,16.0,8.0,7.0,4729,1633,609,2631,3652,1077,1791,253,1428,1207,50,2938,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-19,2009,2,19,3,목,0,0,0,0,0,17.0,16.0,8.0,7.0,5255,1389,449,2928,3998,1257,2358,252,1361,1174,110,2897,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-20,2009,2,20,4,금,0,0,0,0,0,17.0,16.0,8.0,7.0,4464,1803,351,2575,3458,1006,1878,240,1293,1015,38,2586,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-21,2009,2,21,5,토,1,0,0,0,0,17.0,16.0,8.0,7.0,8252,2239,1112,5146,6580,1672,4569,567,1568,1490,58,3683,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-22,2009,2,22,6,일,1,0,0,0,0,17.0,16.0,8.0,7.0,7995,2578,1046,5267,6466,1529,4609,323,1582,1476,5,3386,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-23,2009,2,23,0,월,0,0,0,2,0,17.0,16.0,8.0,7.0,6313,0,880,0,5097,1216,3401,242,1646,962,62,2912,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-24,2009,2,24,1,화,0,1,1,1,0,17.0,16.0,8.0,7.0,0,3216,0,5645,0,0,0,0,0,0,0,0,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-25,2009,2,25,2,수,0,0,0,0,0,17.0,16.0,8.0,7.0,8855,2140,961,3843,5012,3843,5260,385,1640,1492,78,3595,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-26,2009,2,26,3,목,0,0,0,0,0,17.0,16.0,8.0,7.0,5542,1983,765,4328,4435,1107,2676,372,1402,1030,62,2866,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-27,2009,2,27,4,금,0,0,0,0,0,17.0,16.0,8.0,7.0,6435,2528,751,4835,4903,1532,2955,508,1330,1596,46,3480,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-02-28,2009,2,28,5,토,1,0,0,0,0,17.0,16.0,8.0,7.0,9732,3115,2103,10200,6130,3602,5268,851,1518,2079,16,4464,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-01,2009,3,1,6,일,1,0,0,0,1,18.0,17.0,9.0,8.0,9514,2753,1875,4413,7576,1938,5893,818,1149,1560,94,3621,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-02,2009,3,2,0,월,0,0,0,2,0,18.0,17.0,9.0,8.0,4850,0,361,0,3701,1149,1662,288,1121,1719,60,3188,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-03,2009,3,3,1,화,0,1,1,1,0,18.0,17.0,9.0,8.0,0,2065,0,2271,0,0,0,0,0,0,0,0,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-04,2009,3,4,2,수,0,0,0,0,0,18.0,17.0,9.0,8.0,6950,1953,672,2272,3290,3660,4237,311,1494,857,51,2713,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-05,2009,3,5,3,목,0,0,0,0,0,18.0,17.0,9.0,8.0,3189,1361,187,1126,2290,899,1101,374,1072,597,45,2088,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-06,2009,3,6,4,금,0,0,0,0,0,18.0,17.0,9.0,8.0,5166,2291,460,2069,3763,1403,1981,587,1548,982,68,3185,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-07,2009,3,7,5,토,1,0,0,0,0,18.0,17.0,9.0,8.0,8318,2375,1119,5348,6439,1879,3835,606,1748,2117,12,4483,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-08,2009,3,8,6,일,1,0,0,0,0,18.0,17.0,9.0,8.0,9030,2636,1738,6207,6903,2127,6257,533,1177,960,103,2773,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-09,2009,3,9,0,월,0,0,0,2,0,18.0,17.0,9.0,8.0,5884,0,751,0,4672,1212,1937,536,2278,1071,62,3947,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-10,2009,3,10,1,화,0,1,1,1,0,18.0,17.0,9.0,8.0,0,3100,0,3788,0,0,0,0,0,0,0,0,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-11,2009,3,11,2,수,0,0,0,0,0,18.0,17.0,9.0,8.0,6647,1868,647,2511,4027,2620,2976,385,1648,1569,69,3671,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-12,2009,3,12,3,목,0,0,0,0,0,18.0,17.0,9.0,8.0,6132,1601,619,2642,4453,1679,2339,355,1562,1812,64,3793,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-13,2009,3,13,4,금,0,0,0,0,0,18.0,17.0,9.0,8.0,4144,1946,183,2043,3230,914,1086,197,1465,1358,38,3058,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-14,2009,3,14,5,토,1,0,0,0,0,18.0,17.0,9.0,8.0,22041,2751,718,8419,6431,15610,16917,634,1809,2625,56,5124,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-15,2009,3,15,6,일,1,0,0,0,0,18.0,17.0,9.0,8.0,8660,2839,1308,6450,6704,1956,4572,794,1297,1975,22,4088,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-16,2009,3,16,0,월,0,0,0,2,0,18.0,17.0,9.0,8.0,6535,0,516,0,5030,1505,1832,562,2030,2046,65,4703,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-17,2009,3,17,1,화,0,1,1,1,0,18.0,17.0,9.0,8.0,0,3454,0,4624,0,0,0,0,0,0,0,0,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-18,2009,3,18,2,수,0,0,0,0,0,18.0,17.0,9.0,8.0,5615,2215,629,2977,4289,1326,2098,339,1332,1753,93,3517,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-19,2009,3,19,3,목,0,0,0,0,0,18.0,17.0,9.0,8.0,5365,1800,545,2808,3757,1608,1980,251,1640,1449,45,3385,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-20,2009,3,20,4,금,0,0,0,0,0,18.0,17.0,9.0,8.0,7611,2879,1505,5380,5636,1975,3926,277,1641,1704,63,3685,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-21,2009,3,21,5,토,1,0,0,0,0,18.0,17.0,9.0,8.0,11678,3842,2728,11909,9312,2366,7266,652,1749,1885,126,4412,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-22,2009,3,22,6,일,1,0,0,0,0,18.0,17.0,9.0,8.0,8696,2408,1613,6273,6581,2115,5183,306,1052,2079,76,3513,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-23,2009,3,23,0,월,0,0,0,2,0,18.0,17.0,9.0,8.0,9312,0,730,0,5577,3735,5292,312,1644,1910,154,4020,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-24,2009,3,24,1,화,0,1,1,1,0,18.0,17.0,9.0,8.0,0,3165,0,1844,0,0,0,0,0,0,0,0,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-25,2009,3,25,2,수,0,0,0,0,0,18.0,17.0,9.0,8.0,8223,1962,514,1203,4424,3799,4706,363,1164,1907,83,3517,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-26,2009,3,26,3,목,0,0,0,0,0,18.0,17.0,9.0,8.0,9354,1836,260,1213,7069,2285,5194,295,1254,2333,278,4160,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-27,2009,3,27,4,금,0,0,0,0,0,18.0,17.0,9.0,8.0,7644,2865,1079,1202,5698,1946,2822,589,1718,2325,190,4822,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-28,2009,3,28,5,토,1,0,0,0,0,18.0,17.0,9.0,8.0,18346,4987,2656,5782,9613,8733,10921,1099,2112,4166,48,7425,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-29,2009,3,29,6,일,1,0,0,0,0,18.0,17.0,9.0,8.0,12663,4465,3692,5256,9634,3029,6989,987,1557,3128,2,5674,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-30,2009,3,30,0,월,0,0,0,2,0,18.0,17.0,9.0,8.0,9912,0,886,0,5782,4130,5229,586,1789,2222,86,4683,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-03-31,2009,3,31,1,화,0,1,1,1,0,18.0,17.0,9.0,8.0,0,3678,0,3274,0,0,0,0,0,0,0,0,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-04-01,2009,4,1,2,수,0,0,0,0,0,18.0,17.0,9.0,8.0,11426,2782,1290,1712,9463,1963,7341,330,1366,1956,433,4085,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-04-02,2009,4,2,3,목,0,0,0,0,0,18.0,17.0,9.0,8.0,14809,1710,1680,2727,12719,2090,11395,360,1491,1275,288,3414,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-04-03,2009,4,3,4,금,0,0,0,0,0,18.0,17.0,9.0,8.0,10829,2967,1633,2183,8126,2703,7539,306,1287,1574,123,3290,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-04-04,2009,4,4,5,토,1,0,0,0,0,18.0,17.0,9.0,8.0,10882,5374,3017,4107,8852,2030,6727,529,1730,1892,4,4155,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-04-05,2009,4,5,6,일,1,0,0,0,0,18.0,17.0,9.0,8.0,12113,5460,5701,5113,9373,2740,8113,567,1452,1941,40,4000,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-04-06,2009,4,6,0,월,0,0,0,2,0,18.0,17.0,9.0,8.0,12558,0,2742,0,7898,4660,8469,366,1408,2010,305,4089,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-04-07,2009,4,7,1,화,0,1,1,1,0,18.0,17.0,9.0,8.0,0,4915,0,5167,0,0,0,0,0,0,0,0,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-04-08,2009,4,8,2,수,0,0,0,0,0,18.0,17.0,9.0,8.0,12644,3813,2618,3411,9755,2889,7884,733,1111,2797,119,4760,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-04-09,2009,4,9,3,목,0,0,0,0,0,18.0,17.0,9.0,8.0,16519,1668,2871,3741,13638,2881,11711,604,930,2719,555,4808,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-04-10,2009,4,10,4,금,0,0,0,0,0,18.0,17.0,9.0,8.0,13136,3732,2871,4216,10679,2457,7849,786,1066,3147,288,5287,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-04-11,2009,4,11,5,토,1,0,0,0,0,18.0,17.0,9.0,8.0,23072,6371,7453,11072,11449,11623,15835,1883,1569,3668,117,7237,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-04-12,2009,4,12,6,일,1,0,0,0,0,18.0,17.0,9.0,8.0,17550,5307,6443,6489,11439,6111,11441,824,1161,4052,72,6109,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
2009-04-13,2009,4,13,0,월,0,0,0,2,0,18.0,17.0,9.0,8.0,16130,0,2033,0,12495,3635,9854,860,1822,3477,117,6276,2009,문화재청_궁능유적본부_4대궁_관람객_수_현황_2009년.csv
