date,year,month,day,dow,dow_name,is_weekend,is_regular_closed_tuesday,station,close_hour,last_entry_hour,scheduled_open_hours_nominal,scheduled_entry_hours_nominal,ydst_pm10_all_hours,ydst_pm10_count_all_hours,ydst_pm10_open_hours,ydst_pm10_count_open_hours,ydst_pm10_entry_hours,ydst_pm10_count_entry_hours,ydst_pm10_high,source_files
2009-01-01,2009,1,1,3,목,0,0,108,17.0,16.0,8.0,7.0,43.73913043478261,23,43.0,8,43.142857142857146,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-02,2009,1,2,4,금,0,0,108,17.0,16.0,8.0,7.0,45.75,24,52.25,8,53.57142857142857,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-03,2009,1,3,5,토,1,0,108,17.0,16.0,8.0,7.0,46.833333333333336,24,56.75,8,61.42857142857143,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-04,2009,1,4,6,일,1,0,108,17.0,16.0,8.0,7.0,40.083333333333336,24,42.875,8,44.0,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-05,2009,1,5,0,월,0,0,108,17.0,16.0,8.0,7.0,58.541666666666664,24,62.75,8,63.0,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-06,2009,1,6,1,화,0,1,108,17.0,16.0,8.0,7.0,96.0,24,109.0,8,107.28571428571429,7,1,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-07,2009,1,7,2,수,0,0,108,17.0,16.0,8.0,7.0,83.125,24,94.5,8,98.57142857142857,7,1,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-08,2009,1,8,3,목,0,0,108,17.0,16.0,8.0,7.0,72.20833333333333,24,93.125,8,98.28571428571429,7,1,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-09,2009,1,9,4,금,0,0,108,17.0,16.0,8.0,7.0,65.25,24,52.25,8,52.42857142857143,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-10,2009,1,10,5,토,1,0,108,17.0,16.0,8.0,7.0,54.083333333333336,24,62.375,8,64.42857142857143,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-11,2009,1,11,6,일,1,0,108,17.0,16.0,8.0,7.0,41.5,24,36.5,8,36.0,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-12,2009,1,12,0,월,0,0,108,17.0,16.0,8.0,7.0,52.916666666666664,24,55.25,8,56.285714285714285,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-13,2009,1,13,1,화,0,1,108,17.0,16.0,8.0,7.0,42.541666666666664,24,46.125,8,45.857142857142854,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-14,2009,1,14,2,수,0,0,108,17.0,16.0,8.0,7.0,62.416666666666664,24,65.75,8,65.28571428571429,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-15,2009,1,15,3,목,0,0,108,17.0,16.0,8.0,7.0,38.583333333333336,24,32.875,8,32.42857142857143,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-16,2009,1,16,4,금,0,0,108,17.0,16.0,8.0,7.0,53.791666666666664,24,55.625,8,52.285714285714285,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-17,2009,1,17,5,토,1,0,108,17.0,16.0,8.0,7.0,94.125,24,85.625,8,84.28571428571429,7,1,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-18,2009,1,18,6,일,1,0,108,17.0,16.0,8.0,7.0,108.54166666666667,24,87.75,8,85.0,7,1,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-19,2009,1,19,0,월,0,0,108,17.0,16.0,8.0,7.0,81.79166666666667,24,56.625,8,59.285714285714285,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-20,2009,1,20,1,화,0,1,108,17.0,16.0,8.0,7.0,48.5,24,47.0,8,48.0,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-21,2009,1,21,2,수,0,0,108,17.0,16.0,8.0,7.0,56.125,24,57.875,8,60.0,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-22,2009,1,22,3,목,0,0,108,17.0,16.0,8.0,7.0,61.0,24,66.375,8,66.28571428571429,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-23,2009,1,23,4,금,0,0,108,17.0,16.0,8.0,7.0,73.875,24,96.75,8,99.57142857142857,7,1,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-24,2009,1,24,5,토,1,0,108,17.0,16.0,8.0,7.0,44.333333333333336,24,39.125,8,38.714285714285715,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-25,2009,1,25,6,일,1,0,108,17.0,16.0,8.0,7.0,46.958333333333336,24,42.5,8,43.714285714285715,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-26,2009,1,26,0,월,0,0,108,17.0,16.0,8.0,7.0,33.083333333333336,24,32.75,8,33.142857142857146,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-27,2009,1,27,1,화,0,1,108,17.0,16.0,8.0,7.0,45.541666666666664,24,42.375,8,41.285714285714285,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-28,2009,1,28,2,수,0,0,108,17.0,16.0,8.0,7.0,45.583333333333336,24,42.25,8,43.0,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-29,2009,1,29,3,목,0,0,108,17.0,16.0,8.0,7.0,58.666666666666664,24,45.625,8,43.857142857142854,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-30,2009,1,30,4,금,0,0,108,17.0,16.0,8.0,7.0,38.708333333333336,24,28.25,8,29.571428571428573,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-01-31,2009,1,31,5,토,1,0,108,17.0,16.0,8.0,7.0,21.458333333333332,24,23.75,8,23.857142857142858,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-02-01,2009,2,1,6,일,1,0,108,17.0,16.0,8.0,7.0,27.041666666666668,24,22.375,8,21.714285714285715,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-02-02,2009,2,2,0,월,0,0,108,17.0,16.0,8.0,7.0,48.75,24,49.0,8,51.857142857142854,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-02-03,2009,2,3,1,화,0,1,108,17.0,16.0,8.0,7.0,75.08333333333333,24,64.125,8,65.57142857142857,7,0,ENV_YDST_108_HR_2009_2009_2017.csv
2009-02-04,2009,2,4,2,수,0,0,108,17.0,16.0,8.0,7.0,104.16666666666667,24,97.375,8,92.14285714285714,7,1,ENV_YDST_108_HR_2009_2009_2017.csv
