지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
108,2023-01-01,-.2,-4.3,2350,3.8,1343,,,,,,,8.1,290,1406,5.3,320,2135,2.7,2314,-8.7,28,1656,54.5,3.3,1019.8,1033.2,2253,1028.6,137,1030.8,9.6,9,1200,1.87,10.81,,,,,,1.3,1.1,-1.4,-8.1,-.2,-.5,-.5,.6,2.8,6.3,10.1,15.9,18,1.6,2.3,,
108,2023-01-02,-4.5,-7.4,804,-.4,1525,,,,,,,7.4,250,1501,4.4,290,1307,2.5,2176,-14.6,32,1543,45.9,2,1021,1034,1005,1030.3,1521,1032.2,9.6,9.1,1200,1.99,11.63,,,,,,0,0,-4.2,-13.4,-.9,-1,-.5,.6,2.7,6.2,9.9,15.8,17.9,1.3,1.9,,
108,2023-01-03,-5,-9,551,.6,1555,,,,,,,6.7,290,1459,3.9,320,1304,1.8,1542,-14.6,27,1416,49,2,1019.5,1032.1,306,1028.7,1500,1030.7,9.7,9.1,1200,2,11.77,,,,,,0,0,-4.8,-16.4,-1.5,-1.5,-.8,.5,2.6,6.1,9.8,15.7,17.9,1.3,1.9,,
108,2023-01-04,-1.8,-5.7,229,3.3,1510,,,,,,,7.2,320,1256,4.2,290,1238,1.9,1644,-10.7,34,1517,51.4,2.7,1019.5,1031.5,1014,1029.5,1459,1030.5,9.7,8.7,1200,1.91,10.89,,,,,,1.9,1.9,-2.9,-13.9,-1.1,-1.2,-.8,.3,2.5,6,9.7,15.6,17.9,1.5,2.1,,
108,2023-01-05,-1.6,-5.6,749,3.6,1536,,,,,,,5.6,230,1553,3.2,200,1558,1.6,1386,-8.9,39,1554,58.1,3.1,1019.6,1032.3,945,1029.2,2059,1030.6,9.7,4.7,1100,1.06,6.09,,,,,,3.6,1.6,-3.3,-12.5,-1,-1.1,-.8,.2,2.4,5.9,9.5,15.5,17.8,.9,1.2,,
108,2023-01-06,.6,-4.7,816,5.7,1414,4.78,,,,,3.9,6.9,70,1918,4.1,50,1923,2.2,1884,-4.1,48,1406,71.9,4.6,1011.1,1029.6,1,1014.3,2327,1021.9,9.7,7.1,1100,1.66,8.78,3.6,2320,3.6,2320,3.7,5.8,3.4,-1.7,-11,-.8,-1,-.8,.2,2.3,5.7,9.4,15.4,17.8,1,1.4,4,
108,2023-01-07,1.5,-1.4,2354,3.8,1336,1.42,,,,,.1,8.3,270,727,4.4,270,644,2.2,1885,-1.5,64,1617,80.9,5.5,1008.7,1023.8,2220,1013.6,105,1019.5,9.7,1,1300,1.16,4.78,,,3.6,1,,5.6,5.6,.5,-7.9,.1,-.3,-.5,.2,2.3,5.6,9.3,15.3,17.7,.6,.9,,2.48
108,2023-01-08,1.3,-3.7,800,6.3,1522,,,,,,,4.8,50,1924,3,50,1909,1.7,1481,-4,46,1536,69.3,4.6,1013.9,1026.6,941,1023.2,1522,1024.7,9.7,7.1,1200,1.71,9.37,,,,,,3,2.8,-.2,-9.5,.1,-.3,-.5,.3,2.3,5.5,9.2,15.2,17.7,1.2,1.8,,
108,2023-01-09,3.1,-1.3,2400,7,1238,,,,,,,8.6,200,1357,4.7,250,1358,2.3,1994,-3.9,43,1243,60.1,4.7,1013.8,1028.6,2334,1022.2,413,1024.6,9.7,7.8,1200,1.89,10.53,,,,,,3.3,3.3,1.4,-7.7,.1,-.2,-.5,.3,2.3,5.5,9.1,15.1,17.7,1.5,2.2,,
108,2023-01-10,1.6,-3.9,724,9.1,1530,,,,,,,4.4,50,1103,2.7,20,521,1.5,1333,-5.7,39,1505,59.9,4,1017.6,1030.6,947,1026.6,1654,1028.4,9.8,8.8,1200,1.95,11.33,,,,,,1.4,0,.2,-9.3,.1,-.2,-.4,.4,2.3,5.4,9,15,17.6,1.5,2.1,,
108,2023-01-11,2.6,-2,802,9.2,1410,,,,,,,5.6,270,1436,3.3,270,1441,1.6,1347,-4.5,30,1521,61.9,4.4,1015,1028.2,936,1023.9,2023,1025.8,9.8,8.8,1200,1.88,10.86,,,,,,1.4,0,.5,-8.3,.1,-.3,-.4,.4,2.3,5.3,8.9,14.9,17.6,1.6,2.3,,
108,2023-01-12,5.9,-.6,645,12.5,1600,.92,,,,,0,5.7,70,2352,3.4,50,2030,2.2,1902,-5.4,25,1524,46.6,4.1,1011.3,1025,202,1017.7,2358,1021.9,9.8,9,1200,1.86,10.88,,,,,,1.8,.9,1.1,-5.2,.1,-.2,-.4,.5,2.3,5.3,8.8,14.8,17.5,2.1,3,35.6,
108,2023-01-13,8.3,5.1,225,10.1,1628,23.08,,,,,37.3,9.8,70,529,6.3,50,529,2.5,2117,8.1,47,1,99.1,10.8,1000.5,1017.7,1,1007.7,1333,1010.9,9.8,0,1400,.19,1.11,,,,,,10,9.3,3.2,3.4,.2,-.2,-.4,.4,1.3,5.2,8.7,14.7,17.5,.3,.4,1.9,6.17
108,2023-01-14,6.6,3.8,2328,8.4,1,16.33,,,,,1.6,9.9,50,2301,5.7,50,2304,2.5,2131,5.5,82,1823,92.9,9.1,1003.2,1016.9,2120,1011,527,1013.7,9.8,0,1400,.47,1.84,,,,,,9.8,9.3,3.3,2.7,.3,-.2,-.4,.5,1.8,4.6,8.4,14.6,17.4,.4,.6,4.1,6.35
108,2023-01-15,-.2,-3.5,2338,3.8,1,23.17,,,,,3.2,7.6,270,2029,4.3,50,43,2.8,2399,-1.1,84,16,93.9,5.7,1007.3,1021.4,2347,1015.9,56,1018.1,9.9,0,1100,.34,1.32,.6,1055,.6,1055,.6,10,8.8,.3,-3.4,.2,-.2,-.3,.5,1.9,4.6,8.2,14.5,17.4,.3,.5,.5,
108,2023-01-16,-4.6,-6.8,849,-1.2,1432,8.5,,,,,0,7.2,320,1034,4.3,320,650,2.7,2299,-10.7,42,1448,63.1,2.8,1014.4,1027.5,2352,1021.4,1,1025.5,9.9,8.8,1200,2.16,12.95,,,.3,1,,2.8,1.9,-.2,-11.3,.2,-.2,-.2,.6,2.1,4.6,8,14.4,17.4,1.2,1.7,,
