date,locdate,year,month,day,date_name,is_holiday,date_kind,seq
2009-01-01,20090101,2009,1,1,신정,1,01,1
2009-01-25,20090125,2009,1,25,설날,1,01,1
2009-01-26,20090126,2009,1,26,설날,1,01,1
2009-01-27,20090127,2009,1,27,설날,1,01,1
2009-03-01,20090301,2009,3,1,삼일절,1,01,1
2009-05-02,20090502,2009,5,2,석가탄신일,1,01,1
2009-05-05,20090505,2009,5,5,어린이날,1,01,1
2009-06-06,20090606,2009,6,6,현충일,1,01,1
2009-08-15,20090815,2009,8,15,광복절,1,01,1
2009-10-02,20091002,2009,10,2,추석,1,01,1
2009-10-03,20091003,2009,10,3,개천절,1,01,2
2009-10-03,20091003,2009,10,3,추석,1,01,1
2009-10-04,20091004,2009,10,4,추석,1,01,1
2009-12-25,20091225,2009,12,25,기독탄신일,1,01,1
2010-01-01,20100101,2010,1,1,신정,1,01,1
2010-02-13,20100213,2010,2,13,설날,1,01,1
2010-02-14,20100214,2010,2,14,설날,1,01,1
2010-02-15,20100215,2010,2,15,설날,1,01,1
2010-03-01,20100301,2010,3,1,삼일절,1,01,1
2010-05-05,20100505,2010,5,5,어린이날,1,01,1
2010-05-21,20100521,2010,5,21,석가탄신일,1,01,1
2010-06-06,20100606,2010,6,6,현충일,1,01,1
2010-08-15,20100815,2010,8,15,광복절,1,01,1
2010-09-21,20100921,2010,9,21,추석,1,01,1
2010-09-22,20100922,2010,9,22,추석,1,01,1
2010-09-23,20100923,2010,9,23,추석,1,01,1
2010-10-03,20101003,2010,10,3,개천절,1,01,1
2010-12-25,20101225,2010,12,25,기독탄신일,1,01,1
2011-01-01,20110101,2011,1,1,신정,1,01,1
2011-02-02,20110202,2011,2,2,설날,1,01,1
2011-02-03,20110203,2011,2,3,설날,1,01,1
2011-02-04,20110204,2011,2,4,설날,1,01,1
2011-03-01,20110301,2011,3,1,삼일절,1,01,1
2011-05-05,20110505,2011,5,5,어린이날,1,01,1
2011-05-10,20110510,2011,5,10,석가탄신일,1,01,1
2011-06-06,20110606,2011,6,6,현충일,1,01,1
2011-08-15,20110815,2011,8,15,광복절,1,01,1
2011-09-11,20110911,2011,9,11,추석,1,01,1
2011-09-12,20110912,2011,9,12,추석,1,01,1
2011-09-13,20110913,2011,9,13,추석,1,01,1
2011-10-03,20111003,2011,10,3,개천절,1,01,1
2011-12-25,20111225,2011,12,25,기독탄신일,1,01,1
2012-01-01,20120101,2012,1,1,신정,1,01,1
2012-01-22,20120122,2012,1,22,설날,1,01,1
2012-01-23,20120123,2012,1,23,설날,1,01,1
2012-01-24,20120124,2012,1,24,설날,1,01,1
2012-03-01,20120301,2012,3,1,삼일절,1,01,1
2012-04-11,20120411,2012,4,11,국회의원선거일,1,01,1
2012-05-05,20120505,2012,5,5,어린이날,1,01,1
2012-05-28,20120528,2012,5,28,석가탄신일,1,01,1
2012-06-06,20120606,2012,6,6,현충일,1,01,1
2012-08-15,20120815,2012,8,15,광복절,1,01,1
2012-09-29,20120929,2012,9,29,추석,1,01,1
2012-09-30,20120930,2012,9,30,추석,1,01,1
2012-10-01,20121001,2012,10,1,추석,1,01,1
2012-10-03,20121003,2012,10,3,개천절,1,01,1
2012-12-19,20121219,2012,12,19,대통령선거일,1,01,1
2012-12-25,20121225,2012,12,25,기독탄신일,1,01,1
2013-01-01,20130101,2013,1,1,신정,1,01,1
