ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏ¾î±Ç),°æº¹±Ã(Áß¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏ¾î±Ç),Ã¢´ö±Ã(Áß¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏ¾î±Ç),Ã¢°æ±Ã(Áß¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏ¾î±Ç),´ö¼ö±Ã(Áß¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Á¾¹¦(À¯·á),Á¾¹¦(¹«·á),Á¾¹¦(³»±¹ÀÎ),Á¾¹¦(¿µ¾î±Ç),Á¾¹¦(ÀÏ¾î±Ç),Á¾¹¦(Áß¾î±Ç),Á¾¹¦(±âÅ¸¿Ü±¹ÀÎ)
2025-01-01,9214,10700,15384,2282,821,685,742,2586,1795,3198,959,136,27,61,1506,1528,2650,225,73,21,65,2226,8070,9242,521,146,100,287,1264,815,1677,207,175,2,18
2025-01-02,5178,6006,4661,2656,575,1815,1477,1375,1717,2241,645,94,51,61,599,838,1170,194,19,48,6,1107,6303,6695,411,105,53,146,253,179,268,97,46,15,6
2025-01-03,4814,6182,7369,2057,727,507,336,1389,917,1371,753,145,2,35,529,563,865,186,20,13,8,1052,5829,6140,352,182,106,101,295,139,244,92,90,3,5
2025-01-04,5436,6811,9474,1526,567,384,296,2270,1493,2825,701,105,33,99,1155,1521,2350,248,41,20,17,2077,8442,9722,466,130,70,131,1015,535,1266,178,91,3,12
2025-01-05,5308,5541,8564,1340,167,420,358,2361,2005,3708,452,53,37,116,1501,1573,2823,214,11,20,6,2058,2835,4267,367,71,43,145,1258,569,1633,157,34,3,0
2025-01-06,3564,5344,6299,1293,320,563,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,101,230,42,18,14,6
2025-01-07,0,0,0,0,0,0,0,1728,1962,2579,699,97,89,226,498,850,1077,242,16,2,11,1092,5059,5308,385,80,143,235,0,0,0,0,0,0,0
2025-01-08,3481,4862,4601,1832,210,387,1313,838,833,1124,495,20,5,27,421,679,883,181,7,3,26,884,4838,5267,294,39,34,88,153,65,170,38,2,3,5
2025-01-09,2838,2768,2657,1011,129,595,1214,511,418,607,234,7,37,44,192,333,425,87,2,5,6,440,2471,2609,178,42,28,54,119,45,100,40,17,4,3
2025-01-10,2945,4540,3302,2260,140,446,1337,683,561,794,297,31,63,59,286,300,454,117,8,2,5,729,3523,3850,226,35,37,104,216,122,261,42,16,8,11
2025-01-11,4331,6042,5310,1192,222,1404,2245,1462,1084,1978,435,39,41,53,759,858,1456,139,10,7,5,1525,6373,7382,279,71,30,136,715,416,998,77,24,11,21
2025-01-12,4923,6123,8573,1227,425,496,325,1495,1083,2009,380,85,36,68,831,1036,1659,138,40,7,23,1428,4827,5648,289,87,25,206,782,435,987,121,76,6,27
2025-01-13,3939,6021,7685,1066,300,503,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,163,325,57,27,2,6
2025-01-14,0,0,0,0,0,0,0,1795,1797,2543,765,52,95,137,0,2922,2089,0,0,0,833,1198,5203,5789,265,78,98,171,0,0,0,0,0,0,0
2025-01-15,3691,4890,3509,2248,188,472,2164,902,1132,1440,388,32,16,158,0,2069,1441,0,0,0,628,1079,4972,5450,269,85,123,124,202,153,261,57,16,6,15
2025-01-16,3201,4189,3365,1906,278,1466,375,739,933,1267,345,12,10,38,0,2051,1513,0,0,0,538,955,6354,6785,280,85,77,82,171,135,241,40,20,1,4
2025-01-17,4046,5559,6915,1480,193,774,243,1063,915,1519,361,39,35,24,570,874,1267,137,20,17,3,1389,7392,8234,294,59,39,155,257,176,371,47,9,6,0
