ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏº»¾î±Ç),°æº¹±Ã(Áß±¹¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏº»¾î±Ç),´ö¼ö±Ã(Áß±¹¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏº»¾î±Ç),Ã¢°æ±Ã(Áß±¹¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏº»¾î±Ç),Ã¢´ö±Ã(Áß±¹¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ)
2021-01-01,1043,540,1565,4,0,0,14,360,628,973,14,0,0,1,417,280,688,4,0,0,5,523,247,762,6,0,0,2
2021-01-02,869,507,1366,10,0,0,0,363,708,"1,043",21,0,0,7,338,316,649,5,0,0,0,534,270,795,8,1,0,0
2021-01-03,604,424,1002,14,0,0,12,251,550,792,7,0,0,2,262,298,550,4,0,2,4,432,198,606,23,0,0,1
2021-01-04,148,169,314,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,0,26,25,0,0,0,1,113,"1,126","1,229",10,0,0,0,154,232,372,13,0,0,1,163,171,319,14,1,0,0
2021-01-06,114,123,231,6,0,0,0,81,"1,190","1,269",1,0,0,1,157,169,314,10,0,0,2,128,112,227,12,0,0,1
2021-01-07,323,242,557,5,0,0,3,253,824,"1,066",11,0,0,0,351,252,592,6,0,0,5,648,263,867,41,0,0,3
2021-01-08,99,91,188,1,0,0,1,150,513,659,4,0,0,0,100,98,197,1,0,0,0,134,99,231,2,0,0,0
2021-01-09,303,175,466,10,0,0,2,159,395,549,4,0,1,0,215,133,346,2,0,0,0,415,142,527,23,0,2,5
2021-01-10,550,310,847,9,0,1,3,256,477,711,16,1,2,3,339,252,587,2,0,2,0,548,196,728,5,0,10,1
2021-01-11,121,123,236,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-12,0,6,6,0,0,0,0,342,"1,685","2,004",11,0,0,12,278,252,529,1,0,0,0,218,174,392,0,0,0,0
2021-01-13,534,479,1009,2,0,0,2,425,"1,834","2,249",5,0,2,3,541,425,957,9,0,0,0,728,408,"1,118",11,0,2,5
2021-01-14,300,319,618,0,0,0,1,253,"2,279","2,521",8,1,0,2,346,346,687,5,0,0,0,391,232,610,13,0,0,0
2021-01-15,250,202,444,5,0,0,3,253,"1,644","1,876",13,1,0,7,208,185,392,1,0,0,0,226,131,356,0,0,0,1
2021-01-16,844,547,1391,0,0,0,0,392,816,"1,174",29,0,2,3,426,340,761,5,0,0,0,677,244,910,6,0,0,5
2021-01-17,731,442,1155,17,0,0,1,349,654,990,8,0,0,5,416,336,740,12,0,0,0,590,276,850,15,0,0,1
2021-01-18,532,434,952,11,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-19,0,7,7,0,0,0,0,154,"1,419","1,560",9,0,0,4,202,242,438,6,0,0,0,340,175,507,7,0,0,1
2021-01-20,337,370,702,5,0,0,0,247,"1,967","2,204",6,0,0,4,290,309,594,5,0,0,0,292,200,484,7,0,0,1
2021-01-21,192,240,427,4,0,0,1,159,"1,689","1,841",4,0,0,3,146,177,322,1,0,0,0,197,111,308,0,0,0,0
2021-01-22,370,255,611,10,0,4,0,288,"2,764","3,049",3,0,0,0,218,247,463,2,0,0,0,281,142,420,3,0,0,0
2021-01-23,1654,1003,2627,14,0,5,11,"1,103","1,685","2,743",30,4,1,10,750,541,"1,286",4,0,1,0,991,463,"1,429",23,0,0,2
2021-01-24,2396,1596,3936,51,0,0,5,"1,157","1,709","2,800",33,0,3,30,982,744,"1,703",13,0,2,8,"1,212",569,"1,749",16,0,0,16
2021-01-25,563,560,1113,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-26,0,7,7,0,0,0,0,165,"1,293","1,450",4,0,2,2,161,182,338,5,0,0,0,244,171,410,5,0,0,0
2021-01-27,0,1693,1658,28,0,2,5,0,"4,322","4,283",35,0,0,4,0,"1,494","1,487",0,0,0,7,171,"1,579","1,734",16,0,0,0
2021-01-28,344,275,605,10,0,4,0,426,"1,094","1,517",3,0,0,0,268,250,515,3,0,0,0,433,227,653,3,0,2,2
2021-01-29,151,173,321,3,0,0,0,118,963,"1,076",4,0,0,1,99,133,231,0,0,0,1,157,105,262,0,0,0,0
2021-01-30,1385,836,2203,16,0,2,0,736,"1,132","1,836",19,0,0,13,630,452,"1,072",1,0,0,9,"1,082",417,"1,472",22,0,0,5
2021-01-31,1690,1112,2745,37,0,5,15,739,"1,504","2,225",16,0,0,2,608,537,"1,134",9,0,0,2,933,433,"1,334",25,0,0,7
2021-02-01,322,334,651,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-02,0,29,29,0,0,0,0,186,"1,394","1,579",1,0,0,0,155,265,416,0,0,0,4,271,205,463,8,0,0,5
2021-02-03,220,300,509,6,0,2,3,175,"1,847","2,018",4,0,0,0,200,246,442,2,0,2,0,256,161,414,2,0,0,1
2021-02-04,477,525,993,5,0,3,1,534,"1,743","2,256",18,1,0,2,523,455,973,2,0,3,0,757,388,"1,133",7,0,0,5
2021-02-05,386,394,770,5,0,0,5,603,"2,168","2,756",5,1,0,9,234,275,505,4,0,0,0,363,213,571,5,0,0,0
2021-02-06,1559,953,2449,36,0,5,22,"1,390","2,146","3,488",34,3,1,10,770,520,"1,284",2,0,0,4,"1,181",434,"1,592",17,0,0,6
2021-02-07,1314,986,2275,24,0,1,0,"1,035","1,343","2,325",28,0,1,24,530,487,"1,007",3,0,0,7,977,410,"1,357",22,0,1,7
2021-02-08,305,335,632,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-09,0,13,5,0,0,0,8,518,"1,228","1,733",9,0,2,2,281,368,641,8,0,0,0,479,340,801,18,0,0,0
2021-02-10,413,529,936,6,0,0,0,898,"1,960","2,846",3,1,0,8,327,308,622,10,0,0,3,420,229,631,11,1,0,6
2021-02-11,2727,2648,5225,105,1,18,26,"1,417","2,423","3,749",47,0,3,41,825,663,"1,473",14,0,0,1,"1,393",779,"2,131",27,0,0,14
2021-02-12,6235,4154,10049,195,0,46,99,"2,336","2,704","4,936",38,1,9,56,"2,047","1,284","3,297",30,0,0,4,"2,646","1,433","3,970",55,0,2,52
2021-02-13,5759,4123,9617,146,0,20,99,"2,643","3,482","6,004",60,1,9,51,"2,029","1,282","3,292",15,0,2,2,"2,704","1,391","4,020",60,0,4,11
2021-02-14,2638,1980,4519,74,0,13,12,"1,319","1,735","2,997",19,0,4,34,891,661,"1,530",18,0,4,0,"1,327",703,"1,991",24,0,0,15
2021-02-15,309,440,742,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-16,0,2,2,0,0,0,0,648,"1,029","1,651",19,0,0,7,272,312,570,14,0,0,0,474,271,723,14,0,3,5
2021-02-17,175,266,415,16,0,3,7,435,941,"1,359",9,0,1,7,130,158,288,0,0,0,0,193,106,296,1,0,0,2
2021-02-18,256,314,558,6,2,4,0,488,"1,721","2,197",7,0,2,3,196,231,424,3,0,0,0,260,165,417,4,0,4,0
2021-02-19,560,704,1217,36,0,6,5,735,"2,562","3,269",25,0,2,1,348,362,686,21,0,3,0,464,307,753,16,0,0,2
2021-02-20,2416,1658,3967,87,0,8,12,"1,969","4,621","6,512",45,0,3,30,"1,201",847,"2,021",21,0,0,6,"1,533",701,"2,190",39,0,0,5
2021-02-21,2762,1904,4607,37,0,13,9,"1,707","3,276","4,923",32,4,2,22,"1,254",950,"2,188",16,0,0,0,"1,646",831,"2,447",24,0,0,6
2021-02-22,759,976,1709,19,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-23,0,0,0,0,0,0,0,800,"2,664","3,420",30,0,0,14,342,472,807,7,0,0,0,535,367,858,37,0,1,6
2021-02-24,0,2360,2301,27,4,5,23,0,"5,984","5,924",42,3,0,15,0,"2,134","2,114",0,0,0,20,213,"2,343","2,515",39,0,0,2
2021-02-25,578,803,1368,3,0,9,1,709,"2,990","3,684",8,0,0,7,358,441,794,5,0,0,0,452,306,750,5,0,0,3
2021-02-26,957,1043,1978,18,0,2,2,"1,214","3,861","5,031",35,1,2,6,726,749,"1,468",3,0,0,4,706,477,"1,166",13,0,1,3
