ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏ¾î±Ç),°æº¹±Ã(Áß¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏ¾î±Ç),Ã¢´ö±Ã(Áß¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏ¾î±Ç),Ã¢°æ±Ã(Áß¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏ¾î±Ç),´ö¼ö±Ã(Áß¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Á¾¹¦(À¯·á),Á¾¹¦(¹«·á),Á¾¹¦(³»±¹ÀÎ),Á¾¹¦(¿µ¾î±Ç),Á¾¹¦(ÀÏ¾î±Ç),Á¾¹¦(Áß¾î±Ç),Á¾¹¦(±âÅ¸¿Ü±¹ÀÎ)
2024-01-01,9398,11051,12904,4843,537,1461,704,2326,1119,2785,319,84,24,233,891,912,1669,122,6,0,6,1444,4115,4918,309,137,58,137,899,464,1115,110,87,9,42
2024-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-03,4747,5009,6038,1904,483,572,759,1301,627,1026,581,100,20,201,591,481,767,253,24,11,17,1353,5228,5759,394,108,80,240,223,91,161,52,64,5,32
2024-01-04,4327,5218,6311,1975,453,408,398,1254,663,1101,507,100,25,184,555,593,908,209,15,4,12,1496,7924,8763,368,129,26,134,198,109,205,31,56,8,7
2024-01-05,3966,5360,5946,2324,488,308,260,1174,706,1269,333,103,26,149,562,604,989,141,11,9,16,1641,6830,7865,306,53,128,119,183,104,211,48,24,4,0
2024-01-06,6196,7097,10219,1786,415,622,251,2394,1295,2823,650,96,27,93,1197,970,1886,254,17,10,0,3002,6768,9147,344,92,48,139,821,413,1039,117,53,13,12
2024-01-07,4749,5397,7728,1227,474,507,210,1556,659,1620,384,92,10,109,616,518,970,133,10,10,11,1819,2910,4209,246,59,32,183,520,241,592,93,65,9,2
2024-01-08,3409,3782,5179,971,177,516,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,52,115,52,34,6,19
2024-01-09,0,0,0,0,0,0,0,2240,1344,2818,439,63,12,252,1041,1057,1914,155,3,0,26,2109,4099,5453,441,63,49,202,0,0,0,0,0,0,0
2024-01-10,3752,5049,4725,2199,206,496,1175,1296,668,1523,322,12,3,104,693,653,1160,148,5,10,23,1648,7174,8274,264,38,134,112,211,122,274,45,12,1,1
2024-01-11,3313,4693,4744,2261,132,765,104,962,716,1243,281,25,28,101,481,534,898,86,4,2,25,1461,7033,8073,230,15,112,64,160,94,216,23,12,1,2
2024-01-12,3584,4968,6493,1168,143,429,319,1209,696,1389,250,67,19,180,465,548,864,122,1,0,26,1667,6511,7779,260,28,23,88,195,95,247,24,8,2,9
2024-01-13,6875,7375,11756,1047,220,897,330,2109,1078,2759,173,44,26,185,1156,954,2001,86,17,2,4,3740,7563,10633,338,50,32,250,954,515,1341,58,43,3,24
2024-01-14,3361,3340,4232,1756,123,415,175,871,609,1240,144,27,1,68,402,527,830,86,4,0,9,1742,2948,4246,238,36,24,146,297,126,353,43,22,5,0
2024-01-15,3966,4334,6133,921,199,655,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,87,196,70,20,0,1
2024-01-16,0,0,0,0,0,0,0,1376,896,1518,497,38,59,160,577,756,1161,134,1,7,30,1844,5915,6969,290,57,281,162,0,0,0,0,0,0,0
2024-01-17,3725,4309,6053,961,131,588,301,966,539,1186,227,16,31,45,439,467,819,65,5,6,11,1437,3193,4337,173,14,52,54,219,127,307,17,11,4,7
2024-01-18,4275,5785,7418,1025,159,561,897,1166,983,1702,269,47,43,88,0,1601,1403,0,0,0,198,1873,5942,7353,207,43,96,116,191,132,273,26,18,6,0
2024-01-19,3818,5394,4750,1953,794,1427,288,1132,666,1478,189,47,22,62,620,762,1273,77,13,3,16,2030,7625,9275,168,71,23,118,252,118,323,24,16,4,3
2024-01-20,6004,6778,9834,1449,213,1052,234,1551,910,1944,384,21,51,61,607,721,1215,68,2,4,39,2690,6192,8285,281,70,34,212,509,355,757,39,14,18,36
2024-01-21,5113,5985,8906,1173,192,680,147,1499,696,1790,235,70,19,81,605,688,1173,105,6,9,0,2127,4245,5721,263,98,141,149,382,272,557,24,31,11,31
2024-01-22,2913,3254,4329,731,179,619,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,52,78,17,27,6,5
2024-01-23,0,0,0,0,0,0,0,881,422,567,428,31,113,164,203,216,313,72,5,13,16,974,2525,2984,120,43,272,80,0,0,0,0,0,0,0
2024-01-24,2901,3610,4389,915,118,882,207,573,222,472,164,35,27,97,191,211,335,65,0,0,2,1056,3285,3935,142,30,137,97,178,77,169,37,26,10,13
2024-01-25,3781,4319,5300,1368,139,884,409,737,443,829,260,24,29,38,342,358,571,100,1,0,28,1252,4497,5170,302,64,110,103,106,78,136,26,4,13,5
2024-01-26,3986,5136,4298,2109,244,1021,1450,900,464,994,231,38,30,71,507,475,835,111,8,7,21,1788,5884,7232,247,35,14,144,140,75,157,27,10,17,4
2024-01-27,7103,8276,12984,1199,221,818,157,1832,924,2319,259,39,55,84,977,794,1645,91,2,6,27,3467,8383,11120,331,100,147,152,815,462,1157,87,23,6,4
2024-01-28,6490,7229,10461,1078,312,1324,544,1620,1100,2207,357,71,11,74,877,776,1441,178,7,12,15,2702,5137,7147,321,78,120,173,711,419,983,61,47,15,24
2024-01-29,4004,5155,6843,1022,187,955,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,81,0,0,0,0,193,134,266,28,19,13,1
2024-01-30,0,0,0,0,0,0,0,1521,1473,2204,349,69,95,277,693,856,1325,194,2,0,28,2418,8407,10040,238,62,430,55,0,0,0,0,0,0,0
2024-01-31,0,21206,11896,1555,1206,3731,2818,342,3768,3343,426,114,190,37,0,3116,2748,0,0,0,368,0,14196,13586,306,60,105,139,0,1969,1969,0,0,0,0
2024-02-01,3729,5644,6839,1006,152,728,648,811,667,1099,217,44,54,64,454,646,1022,70,2,0,6,1862,7852,9133,227,77,181,96,132,125,219,15,8,12,3
2024-02-02,4113,5603,4539,1160,675,2146,1196,942,879,1466,168,82,25,80,566,619,1102,78,0,1,4,1990,8659,10106,219,66,113,145,169,110,240,16,10,11,2
2024-02-03,6288,6985,9482,1351,391,1618,431,1963,1348,2721,392,88,49,61,1080,899,1860,92,3,8,16,3547,7561,10380,340,73,137,178,878,479,1206,76,46,16,13
2024-02-04,6129,7631,11619,1071,240,821,9,1970,1174,2546,311,74,65,148,1118,1093,2040,138,0,7,26,3193,5729,8285,292,45,158,142,787,444,1058,109,39,22,3
2024-02-05,2704,3237,3118,1747,188,737,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,58,104,31,21,9,5
2024-02-06,0,0,0,0,0,0,0,1551,1117,1854,484,69,90,171,590,648,1041,153,7,4,33,1903,7111,8435,244,46,110,179,0,0,0,0,0,0,0
2024-02-07,3152,4191,3430,1861,156,625,1271,551,565,828,172,34,11,71,364,475,714,104,4,1,16,1938,6705,8166,220,79,81,97,80,81,119,25,12,3,2
2024-02-08,3095,4173,5020,975,139,702,432,851,517,966,260,36,58,48,467,418,767,92,7,9,10,1802,6217,7554,244,59,74,88,136,82,168,34,6,9,1
2024-02-09,0,50076,34417,3327,1613,4743,5976,640,4843,4668,543,91,149,32,0,3905,3155,0,0,0,750,0,12577,11243,583,81,130,540,0,2963,2484,0,0,0,479
2024-02-10,0,87055,46321,7044,3799,12036,17855,775,10393,9194,1305,169,415,85,0,15555,14068,0,0,0,1487,0,16611,14656,749,70,113,1023,0,4032,3577,0,0,0,455
2024-02-11,0,95722,57430,7761,4020,7574,18937,718,10032,9172,1239,121,162,56,0,8514,7822,0,0,0,692,0,17765,16267,620,73,199,606,0,3775,3427,0,0,0,348
2024-02-12,0,83724,50988,8644,2834,11072,10186,624,10345,9872,654,152,255,36,0,9391,8329,0,0,0,1062,0,17616,16609,426,74,70,437,0,5939,5266,0,0,0,673
2024-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-14,7620,8000,10947,1121,146,1981,1425,1519,1189,2056,411,44,112,85,795,1035,1643,165,9,10,3,1460,9913,10750,268,54,173,128,220,128,269,51,19,9,0
2024-02-15,3126,2499,3525,521,110,971,498,500,331,544,122,27,15,123,172,221,325,63,4,0,1,565,2323,2598,140,37,90,23,71,53,90,9,17,5,3
2024-02-16,7184,7958,9932,1368,431,2351,1060,1412,1200,1960,392,96,53,111,794,972,1568,151,16,25,6,1470,8856,9713,302,67,157,87,256,140,295,30,39,13,19
2024-02-17,9465,10282,14072,3465,373,1144,693,2977,1895,4075,424,71,48,254,1854,1486,3101,191,31,15,2,2854,9919,12110,347,80,73,163,1474,749,2035,101,36,19,32
2024-02-18,7018,8107,9264,2312,387,1811,1351,1916,922,2155,510,76,21,76,743,850,1374,165,17,25,12,1622,4255,5101,318,104,146,208,615,369,815,91,60,18,0
2024-02-19,3664,4537,5905,1176,316,620,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,84,176,32,33,10,1
2024-02-20,0,0,0,0,0,0,0,1990,1262,2232,429,93,60,438,586,648,983,182,28,17,24,1171,7258,7579,367,154,248,81,0,0,0,0,0,0,0
2024-02-21,2544,3035,2446,1310,252,285,1286,463,329,514,172,43,3,60,220,216,361,55,0,3,17,516,2281,2440,152,65,78,62,53,51,67,8,25,4,0
2024-02-22,5122,5953,8014,1135,403,939,584,2052,1284,2727,430,51,17,111,1178,999,1974,164,16,4,19,2165,4382,6079,276,75,31,86,366,191,468,37,31,2,19
2024-02-23,5275,5893,6551,2279,722,1033,583,1969,986,2144,467,169,11,164,880,791,1419,194,27,20,11,1275,7776,8402,336,111,97,105,237,154,304,22,59,3,3
2024-02-24,8468,8524,13040,1383,923,861,785,2750,1417,3225,534,184,26,198,1379,1195,2298,191,62,12,11,2093,8340,9531,440,197,91,174,1175,637,1550,134,113,8,7
2024-02-25,6846,7639,10883,1658,451,1096,397,2088,1172,2612,400,137,18,93,1018,865,1681,160,22,2,18,1818,4898,5831,388,217,122,158,813,374,967,117,61,7,35
2024-02-26,5272,7515,7187,2203,601,1419,1377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,176,388,40,55,4,2
2024-02-27,0,0,0,0,0,0,0,2531,1874,3137,659,135,169,305,972,1086,1707,311,17,1,22,1917,10043,10407,414,179,413,547,0,0,0,0,0,0,0
2024-02-28,0,27058,17011,2446,1440,3171,2990,540,5718,4898,719,252,354,35,0,7428,6318,0,0,0,1110,0,13829,13550,144,31,15,89,0,2909,2909,0,0,0,0
2024-02-29,4680,6873,7584,2915,313,372,369,1657,1232,2267,340,51,64,167,795,770,1368,181,3,6,7,1891,8834,9996,399,87,133,110,220,178,320,42,28,3,5
2024-03-01,8591,8481,13763,1176,440,1278,415,2420,1357,3154,444,90,15,74,1181,990,1966,185,8,0,12,1696,7248,8308,343,93,74,126,810,554,1190,116,51,5,2
2024-03-02,9581,9493,12247,3250,488,1679,1410,2466,1225,3058,479,74,19,61,1129,892,1819,175,11,1,15,1901,6217,7172,476,170,104,196,872,430,1083,146,54,4,15
