series,n_obs,adf_stat,p_value,used_lag,crit_1pct,crit_5pct,crit_10pct,stationarity_call
visitors,6174,-6.332696240931492,2.8802812610056597e-08,34,-3.431409608180226,-2.8620082518350323,-2.5670192476469817,stationary_I0
tavg,6174,-6.086802749541299,1.0596009771821199e-07,34,-3.431409608180226,-2.8620082518350323,-2.5670192476469817,stationary_I0
rain,6181,-9.378076576711539,7.078153221898888e-16,27,-3.431408407672048,-2.862007721412468,-2.567018965289954,stationary_I0
pm10,6176,-7.020389693776234,6.566367674348905e-10,32,-3.431409264900084,-2.862008100163007,-2.567019166908214,stationary_I0
covid_v3,6208,-2.08880853645678,0.24903849238041725,0,-3.431403802511518,-2.862005686704597,-2.5670178821650564,unit_root_not_rejected
closed,6174,-7.19261533458657,2.481031271955328e-10,34,-3.431409608180226,-2.8620082518350323,-2.5670192476469817,stationary_I0
others_closed,6174,-8.480535003652529,1.3970901256991062e-13,34,-3.431409608180226,-2.8620082518350323,-2.5670192476469817,stationary_I0
is_weekend,6203,-1381923155296833.0,0.0,5,-3.4314046522931423,-2.8620060621656562,-2.567018082032145,stationary_I0
d_holiday,6201,-26.59380310023172,0.0,7,-3.4314049925896617,-2.862006212519656,-2.5670181620692554,stationary_I0
offdays_left,6174,-12.072437580912053,2.331007693484431e-22,34,-3.431409608180226,-2.8620082518350323,-2.5670192476469817,stationary_I0
long_break_3p,6201,-24.846916966644475,0.0,7,-3.4314049925896617,-2.862006212519656,-2.5670181620692554,stationary_I0
pre_holiday,6174,-13.407127113020449,4.447624108884201e-25,34,-3.431409608180226,-2.8620082518350323,-2.5670192476469817,stationary_I0
ktci,6191,-7.04607255126442,5.682558779133531e-10,17,-3.431406697371607,-2.8620069657471543,-2.567018563030713,stationary_I0
ktci_a,6191,-7.065328648199436,5.09815734551203e-10,17,-3.431406697371607,-2.8620069657471543,-2.567018563030713,stationary_I0
ktci_a_roll7,6175,-7.662804793102195,1.6712513500271913e-11,33,-3.4314094365123475,-2.8620081759867357,-2.5670192072710583,stationary_I0
Cd_month_w,6177,-5.406435268223084,3.2833656250304258e-06,31,-3.431409093343409,-2.8620080243638344,-2.567019126558442,stationary_I0
Ca_month_w,6174,-6.117368441579757,9.026625800681355e-08,34,-3.431409608180226,-2.8620082518350323,-2.5670192476469817,stationary_I0
P_month_w,6180,-9.796519141792723,6.153643006518565e-17,28,-3.4314085790066406,-2.862007797113535,-2.567019005587499,stationary_I0
W_month_w,6195,-6.588773680035207,7.202269003913719e-09,13,-3.4314060147981067,-2.8620066641642783,-2.5670184024907483,stationary_I0
S_month_w,6194,-12.068535281818898,2.3773735876058746e-22,14,-3.431406185358798,-2.862006739523472,-2.5670184426062947,stationary_I0
Cd_temp_w,6177,-6.511495173244508,1.0975418801291893e-08,31,-3.431409093343409,-2.8620080243638344,-2.567019126558442,stationary_I0
Ca_temp_w,6174,-5.829076598506434,4.014607749123031e-07,34,-3.431409608180226,-2.8620082518350323,-2.5670192476469817,stationary_I0
P_temp_w,6180,-9.686730523465886,1.165200147648673e-16,28,-3.4314085790066406,-2.862007797113535,-2.567019005587499,stationary_I0
W_temp_w,6195,-5.958705681373757,2.0635397566764226e-07,13,-3.4314060147981067,-2.8620066641642783,-2.5670184024907483,stationary_I0
S_temp_w,6194,-12.409209675925718,4.382045142998843e-23,14,-3.431406185358798,-2.862006739523472,-2.5670184426062947,stationary_I0
