lag,n_obs,df_num,df_den,sse_restricted,sse_unrestricted,f_stat,p_value,model,display,predictors,controls,story
1,6208,1,6195,363005686977.52954,354646363560.01306,146.0215411534916,3.0310882418817394e-33,Baseline_Temperature,Baseline (Temperature),tavg,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",단순 평균기온 baseline
2,6207,2,6192,349116772749.2715,341921831537.62775,65.14804243728918,1.0003174670289994e-28,Baseline_Temperature,Baseline (Temperature),tavg,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",단순 평균기온 baseline
3,6206,3,6189,345947315286.86707,339087183289.3536,41.73691312535868,1.0767246299687892e-26,Baseline_Temperature,Baseline (Temperature),tavg,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",단순 평균기온 baseline
4,6205,4,6186,340799938733.01013,334661836897.79,28.364675746004234,2.185798857799171e-23,Baseline_Temperature,Baseline (Temperature),tavg,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",단순 평균기온 baseline
5,6204,5,6183,340024534726.2549,334136321488.91693,21.79159828194143,1.0656493852414381e-21,Baseline_Temperature,Baseline (Temperature),tavg,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",단순 평균기온 baseline
6,6203,6,6180,337816218986.7516,331896959384.52826,18.369669314223426,2.8814811398787867e-21,Baseline_Temperature,Baseline (Temperature),tavg,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",단순 평균기온 baseline
7,6202,7,6177,321625218891.4912,316843602734.6356,13.317089813385742,3.6830633437224683e-17,Baseline_Temperature,Baseline (Temperature),tavg,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",단순 평균기온 baseline
1,6208,1,6195,363005686977.52954,359339417292.6455,63.206371482924524,2.1957624657087138e-15,KTCI,KTCI Model,ktci,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",월 기준 계절 가중치를 적용한 관광쾌적도
2,6207,2,6192,349116772749.2715,345959099918.7727,28.2581238230749,6.071849254651265e-13,KTCI,KTCI Model,ktci,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",월 기준 계절 가중치를 적용한 관광쾌적도
3,6206,3,6189,345947315286.86707,342176150711.29755,22.736571509228362,1.236631162720892e-14,KTCI,KTCI Model,ktci,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",월 기준 계절 가중치를 적용한 관광쾌적도
4,6205,4,6186,340799938733.01013,337174592979.8879,16.62817224054006,1.459756411725017e-13,KTCI,KTCI Model,ktci,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",월 기준 계절 가중치를 적용한 관광쾌적도
5,6204,5,6183,340024534726.2549,336367010139.2332,13.446309441698284,4.552797375067583e-13,KTCI,KTCI Model,ktci,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",월 기준 계절 가중치를 적용한 관광쾌적도
6,6203,6,6180,337816218986.7516,333642190096.2139,12.885809663382183,1.5883707506736622e-14,KTCI,KTCI Model,ktci,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",월 기준 계절 가중치를 적용한 관광쾌적도
7,6202,7,6177,321625218891.4912,318355410999.8636,9.063366938205018,3.543765483898956e-11,KTCI,KTCI Model,ktci,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",월 기준 계절 가중치를 적용한 관광쾌적도
1,6208,1,6195,363005686977.52954,359038216839.2193,68.45643821208711,1.57355205199631e-16,KTCI_a,KTCI-a Model,ktci_a,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",실제 기온 흐름으로 계절을 재계산한 관광쾌적도
2,6207,2,6192,349116772749.2715,345725408754.7448,30.36994869677908,7.494963923447639e-14,KTCI_a,KTCI-a Model,ktci_a,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",실제 기온 흐름으로 계절을 재계산한 관광쾌적도
3,6206,3,6189,345947315286.86707,341923485122.84515,24.277834046394297,1.297787189550606e-15,KTCI_a,KTCI-a Model,ktci_a,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",실제 기온 흐름으로 계절을 재계산한 관광쾌적도
4,6205,4,6186,340799938733.01013,336928616408.13336,17.769342477486873,1.628057526520399e-14,KTCI_a,KTCI-a Model,ktci_a,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",실제 기온 흐름으로 계절을 재계산한 관광쾌적도
5,6204,5,6183,340024534726.2549,336127849802.7223,14.335737366804105,5.538594150381218e-14,KTCI_a,KTCI-a Model,ktci_a,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",실제 기온 흐름으로 계절을 재계산한 관광쾌적도
6,6203,6,6180,337816218986.7516,333476300211.8792,13.404599772992537,3.685789532738549e-15,KTCI_a,KTCI-a Model,ktci_a,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",실제 기온 흐름으로 계절을 재계산한 관광쾌적도
7,6202,7,6177,321625218891.4912,318256412815.6088,9.340678186689432,1.4576362745864855e-11,KTCI_a,KTCI-a Model,ktci_a,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",실제 기온 흐름으로 계절을 재계산한 관광쾌적도
1,6208,1,6195,363005686977.52954,352244412741.5325,189.26089805977887,1.929552715876211e-42,KTCI_a_roll7,KTCI-a-roll7 Model,ktci_a_roll7,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",KTCI-a의 7일 rolling 평균으로 체감 지속성 반영
2,6207,2,6192,349116772749.2715,340910196086.0596,74.5286050138852,1.0377174111937984e-32,KTCI_a_roll7,KTCI-a-roll7 Model,ktci_a_roll7,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",KTCI-a의 7일 rolling 평균으로 체감 지속성 반영
3,6206,3,6189,345947315286.86707,337217412514.13855,53.40705655104281,4.493877767859588e-34,KTCI_a_roll7,KTCI-a-roll7 Model,ktci_a_roll7,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",KTCI-a의 7일 rolling 평균으로 체감 지속성 반영
4,6205,4,6186,340799938733.01013,333257699130.5191,35.00016226387071,6.023287355491784e-29,KTCI_a_roll7,KTCI-a-roll7 Model,ktci_a_roll7,"rain, pm10, covid_v3, closed, others_closed, is_weekend, d_holiday, offdays_left, long_break_3p, pre_holiday",KTCI-a의 7일 rolling 평균으로 체감 지속성 반영
